"FamilyID_idx";"GenusID";"Extinct";"GenusSc";"Authority";"Code";"Comment"
6834;6890;;"Leucocarbo";"Bonaparte, 1856";"TAX";"Genus Leucocarbo includes at least 10 core species (Kennedy et al. 2000; Christidis & Boles 2008)"
6910;6911;;"Threskiornis";"Gray, GR, 1842";;
6910;6922;;"Pseudibis";"Hodgson, 1844";;
6910;6926;;"Geronticus";"Wagler, 1832";;
6910;6929;;"Nipponia";"Reichenbach, 1853";;
6910;6931;;"Bostrychia";"Gray, GR, 1847";;
6910;6944;;"Theristicus";"Wagler, 1832";;
6910;6951;;"Cercibis";"Wagler, 1832";;
6910;6953;;"Mesembrinibis";"Peters, JL, 1930";;
6910;6955;;"Phimosus";"Wagler, 1832";;
6910;6960;;"Eudocimus";"Wagler, 1832";;
6910;6965;;"Plegadis";"Kaup, 1829";;
6910;6969;;"Lophotibis";"Reichenbach, 1853";;
6910;6973;;"Platalea";"Linnaeus, 1758";;
6984;6985;;"Zonerodius";"Salvadori, 1882";;
6984;6987;;"Tigriornis";"Sharpe, 1895";;
6984;6989;;"Tigrisoma";"Swainson, 1827";;
6984;6998;;"Agamia";"Reichenbach, 1853";;
6984;7000;;"Cochlearius";"Brisson, 1760";;
6984;7007;;"Zebrilus";"Bonaparte, 1855";;
6984;7009;;"Botaurus";"Stephens, 1819";;
6984;7018;;"Ixobrychus";"Billberg, 1828";;
6984;7041;;"Gorsachius";"Bonaparte, 1855";;
6984;7046;;"Nycticorax";"Forster, T, 1817";;
6984;7063;;"Nyctanassa";"Stejneger, 1887";;
6984;7071;;"Butorides";"Blyth, 1852";;
6984;7100;;"Ardeola";"Boie, F, 1822";;
6984;7109;;"Bubulcus";"Bonaparte, 1855";;
6984;7112;;"Ardea";"Linnaeus, 1758";;
6984;7145;;"Pilherodius";"Reichenbach, 1853";;
6984;7147;;"Syrigma";"Ridgway, 1878";;
6984;7151;;"Egretta";"Forster, T, 1817";;
7178;7179;;"Scopus";"Brisson, 1760";;
7184;7185;;"Balaeniceps";"Gould, 1850";;
7188;7189;;"Pelecanus";"Linnaeus, 1758";;
7205;7206;;"Opisthocomus";"Illiger, 1811";;
7210;7211;;"Gymnogyps";"Lesson, R, 1842";;
7210;7213;;"Sarcoramphus";"Duméril, 1805";;
7210;7215;;"Vultur";"Linnaeus, 1758";;
7210;7217;;"Coragyps";"Le Maout, 1853";;
7210;7219;;"Cathartes";"Illiger, 1811";;
7232;7233;;"Sagittarius";"Hermann, 1783";;
7236;7237;;"Pandion";"Savigny, 1809";;
7244;7245;;"Elanus";"Savigny, 1809";;
7244;7255;;"Gampsonyx";"Vigors, 1825";"PHY";"Gampsonyx is sister to Elanus. Both genera are basal to all other Accipitridae (Griffiths et al. 2004; Wink & Sauer-Gürth 2004)."
7244;7260;;"Chelictinia";"Lesson, R, 1843";"SEQ";"Position of Scissor-tailed Kite provisional in absence of molecular data."
7244;7262;;"Polyboroides";"Smith, A, 1829";"PHY";"Polyboroides is a basal taxon within Accipitridae, sister to Gypohierax, Pernis and related taxa (Wink & Sauer-Gürth 2004; Lerner & Mindell 2005)."
7244;7267;;"Gypohierax";"Rüppell, 1836";"PHY";"Gypohierax, Gypaetus and Neophron are not related to the other Old World vultures but cluster with Pernis and Aviceda and related taxa at the base of the Accipitridae (Wink & Sauer-Gürth 2004; Lerner & Mindell 2005)."
7244;7269;;"Gypaetus";"Storr, 1784";;
7244;7273;;"Neophron";"Savigny, 1809";;
7244;7278;;"Eutriorchis";"Sharpe, 1875";;
7244;7280;;"Leptodon";"Sundevall, 1836";;
7244;7285;;"Chondrohierax";"Lesson, R, 1843";;
7244;7290;;"Pernis";"Cuvier, 1816";;
7244;7303;;"Elanoides";"Vieillot, 1818";;
7244;7307;;"Lophoictinia";"Kaup, 1847";;
7244;7309;;"Hamirostra";"Brown, T, 1846";;
7244;7311;;"Aviceda";"Swainson, 1836";;
7244;7341;;"Henicopernis";"Gray, GR, 1859";"PHY";"The taxonomic position of Henicopernis is unsettled. It is only distantly related to Pernis (Gamauf & Haring 2004)."
7244;7344;;"Necrosyrtes";"Gloger, 1841";;
7244;7346;;"Gyps";"Savigny, 1809";;
7244;7359;;"Sarcogyps";"Lesson, R, 1842";;
7244;7361;;"Trigonoceps";"Lesson, R, 1842";"TAX";"Move White-headed Vulture from Aegypius to Trigonoceps (Dickinson 2003; BLI)."
7244;7363;;"Aegypius";"Savigny, 1809";;
7244;7365;;"Torgos";"Kaup, 1828";"TAX";"Move Lappet-faced Vulture from Aegypius to Torgos (Dickinson 2003; BLI)."
7244;7369;;"Spilornis";"Gray, GR, 1840";;
7244;7399;;"Pithecophaga";"Ogilvie-Grant, 1896";;
7244;7401;;"Circaetus";"Vieillot, 1816";;
7244;7413;;"Terathopius";"Lesson, R, 1830";;
7244;7415;;"Macheiramphus";"Bonaparte, 1850";"PHY";"Macheiramphus is placed with the harpy eagles after Griffiths et al. (2007)."
7244;7420;;"Harpyopsis";"Salvadori, 1875";;
7244;7422;;"Morphnus";"Dumont, 1816";;
7244;7424;;"Harpia";"Vieillot, 1816";;
7244;7426;;"Nisaetus";"Hodgson, 1836";"TAX";"Separate Old World species of Spizaetus into Nisaetus (Helbig et al. 2005; Haring et al. 2007)."
7244;7446;;"Spizaetus";"Vieillot, 1816";;
7244;7455;;"Stephanoaetus";"Sclater, WL, 1922";;
7244;7457;;"Lophotriorchis";"Sharpe, 1874";"TAX";"Separate Rufous-bellied Eagle from Hieraaetus into its own genus Lophotriorchis (Haring et al. 2007)."
7244;7461;;"Polemaetus";"Heine, 1890";;
7244;7463;;"Lophaetus";"Kaup, 1847";;
7244;7465;;"Ictinaetus";"Blyth, 1843";;
7244;7469;;"Clanga";"Adamowicz, 1854";"TAX";"The three spotted eagles (formerly in Aquila) form a clade sister to Lophaetus and to Ictinaetus. Wells & Inskipp (2012) treated them as a new genus Aquiloides, but Clanga has priority (Gregory & Dickinson 2012a)."
7244;7473;;"Hieraaetus";"Kaup, 1844";;
7244;7479;;"Aquila";"Brisson, 1760";;
7244;7506;;"Harpagus";"Vigors, 1824";"PHY";"The taxonomic position of Harpagus is unsettled. Griffiths et al. (2007) place it basal to the accipitrines and buteonines."
7244;7511;;"Kaupifalco";"Bonaparte, 1854";;
7244;7515;;"Micronisus";"Gray, GR, 1840";;
7244;7520;;"Melierax";"Gray, GR, 1840";;
7244;7530;;"Urotriorchis";"Sharpe, 1874";;
7244;7532;;"Erythrotriorchis";"Sharpe, 1875";"PHY";"Relationships of Erythrotriorchis goshawks uncertain."
7244;7535;;"Megatriorchis";"Salvadori & D'Albertis, 1875";;
7244;7537;;"Accipiter";"Brisson, 1760";"PHY";"The genus Accipiter needs revision."
7244;7721;;"Circus";"Lacépède, 1799";"PHY";"Species compositions of Circus vs. Accipiter need revision (Lerner et al. 2008)."
7244;7740;;"Milvus";"Lacépède, 1799";"PHY";"Milvus and Haliastur are closely related to sea eagles and buteonines (Wink & Sauer-Gürth 2004; Lerner & Mindell 2005; Griffiths et al. 2007)."
7244;7753;;"Haliastur";"Selby, 1840";;
7244;7760;;"Haliaeetus";"Savigny, 1809";;
7244;7777;;"Butastur";"Hodgson, 1843";;
7244;7782;;"Ictinia";"Vieillot, 1816";;
7244;7785;;"Busarellus";"Lesson, R, 1843";;
7244;7789;;"Rostrhamus";"Lesson, R, 1830";;
7244;7795;;"Helicolestes";"Bangs & Penard, TE, 1918";;
7244;7797;;"Geranospiza";"Kaup, 1847";;
7244;7805;;"Cryptoleucopteryx";"Raposo do Amaral et al., 2009";"TAX";"Generic reassignments of the South American buteonines follow SACC proposals 460 and 492."
7244;7807;;"Buteogallus";"Lesson, R, 1830";;
7244;7826;;"Morphnarchus";"Ridgway, 1920";;
7244;7828;;"Rupornis";"Kaup, 1844";;
7244;7842;;"Parabuteo";"Ridgway, 1874";;
7244;7847;;"Geranoaetus";"Kaup, 1844";"PHY, TAX";"Expand Geranoaetus to include Buteo polyosoma and B. albicaudatus (SACC 460)."
7244;7860;;"Pseudastur";"Gray, GR, 1849";;
7244;7868;;"Leucopternis";"Kaup, 1847";;
7244;7872;;"Bermuteo";"Olson, 2008";;
7244;7874;;"Buteo";"Lacépède, 1799";;
7949;7950;;"Tyto";"Billberg, 1828";;
7949;8015;;"Phodilus";"Geoffroy Saint-Hilaire, I, 1830";;
8026;8027;;"Otus";"Pennant, 1769";;
8026;8147;"2";"Mascarenotus";"Mourer-Chauviré, Bour, Moutou & Ribes, 1994";;
8026;8151;;"Psiloscops";"Coues, 1899";;
8026;8153;;"Gymnasio";"Bonaparte, 1854";"PHY, TAX";"Forms a deeply diverged clade with Psiloscops that is sister to Megascops; resurrect monotypic genus Gymnasio (Dantas et al. 2016; Salter et al. 2020; Chesser et al. 2020; NACC 2020-B-9, 2020-C-14)."
8026;8157;;"Megascops";"Kaup, 1848";"PHY, SEQ";"Change sequence of Megascops to follow phylogeny of Dantas et al. (2016); Chesser et al. (2020), NACC 2020-B-9."
8026;8231;;"Pyrroglaux";"Yamashina, 1938";;
