"GenusID_idx";"SpeciesID";"Extinct";"SpeciesEn";"SpeciesSc";"Authority";"BrRange";"NonbrRange";"Code";"Comment";"SpeciesUA"
24249;24260;;"Black-capped White-eye";"Zosterops atricapilla";"Salvadori, 1879";"OR : Sumatra and Borneo";;;;"Окулярник темноголовий"
24249;24263;;"Abyssinian White-eye";"Zosterops abyssinicus";"Guérin-Méneville, 1843";"AF : ne, also s Arabian Pen.";;"PHY, SEQ";"Clusters with basal Asian taxa and is sister to Z. erythropleurus (Lim et al. 2018; Cai et al. 2019).";"Окулярник абісинський"
24249;24267;;"Pale White-eye";"Zosterops flavilateralis";"Reichenow, 1892";"AF : s Somalia, n, c, e Kenya to e Tanzania";;"AS, PHY";"Split from Abyssinian White-eye (Cox 2013; Pearson & Turner 2017). ENG Pale Scrub White-eye?";" "
24249;24270;;"Mbulu White-eye";"Zosterops mbuluensis";"Sclater, WL & Moreau, 1935";"AF : s Kenya and n Tanzania";;"AS, PHY";"Z. mbuluensis is split from artificial Montane White-eye subspecies complex Z. poliogastrus. Sister to Z. abyssinicus flavilateralus/jubaensis (Cox et al. 2014); monotypic.";" "
24249;24271;;"Chestnut-flanked White-eye";"Zosterops erythropleurus";"Swinhoe, 1863";"EU : e, also Southeast Asia";;"PHY, SEQ";"Clusters with basal Asian taxa (Lim et al. 2018; Cai et al. 2019).";"Окулярник буробокий"
24249;24272;;"Swinhoe's White-eye";"Zosterops simplex";"Swinhoe, 1861";"OR : e China, Taiwan and n Vietnam to Thai-Malay Pen. to Sumatra and Borneo";"to c Indochina";"AS";"Z. simplex, previously a subspecies of Z. japonicus is split (9.1) as Swinhoe's White-eye (Lim et al. 2018).";" "
24249;24278;;"Mountain Blackeye";"Zosterops emiliae";"(Sharpe, 1888)";"OR : Borneo";;"TAX, PHY";"Formerly placed in the monotypic genus Chlorocharis but embedded in Zosterops basal to japonicus/montanus group (Lim et al. 2018).";"Чорноок "
24249;24283;;"Warbling White-eye";"Zosterops japonicus";"Temminck & Schlegel, 1847";"EU : widespread e Asia, Japan to Greater Sundas, Lesser Sundas and Philippines";;"ENG, AL";"Mountain White-eye Z. montanus subsumed (9.1) in Z. japonicus (Lim et al. 2018). Change English name of Z. japonicus from Japanese White-eye to Warbling White-eye following merger of  Z. montanus with Z. japonicus.";"Окулярник японський"
24249;24299;;"Indian White-eye";"Zosterops palpebrosus";"(Temminck, 1824)";"OR : widespread";;"ENG";"Change (9.1) English name of Zosterops palpebrosus from Oriental White-eye to Indian White-eye following revision of Z. japonicus/montanus complex.";"Окулярник південний"
24249;24307;;"Lowland White-eye";"Zosterops meyeni";"Bonaparte, 1850";"OR : Philippines and Taiwan";;;;"Окулярник низинний"
24249;24310;"1";"Marianne White-eye";"Zosterops semiflavus";"Newton, E, 1867";"IO : Marianne I. (Seychelles)";;"AS";"Extinct Marianne White-eye Zosterops semiflavus is basal to the ancient clade of Indian Ocean white-eyes and is not sister to the similar Z. mayottensis (Warren et al. 2006).";" "
24249;24311;;"Karthala White-eye";"Zosterops mouroniensis";"Milne-Edwards & Oustalet, 1885";"AF : Gran Comore";;"PHY, SEQ";"Karthala White-eye is a basal member of the ancient Indian Ocean clade.";"Окулярник карталайський"
24249;24312;;"Reunion Olive White-eye";"Zosterops olivaceus";"(Linnaeus, 1766)";"IO : La Réunion";;"PHY, SEQ";;"Окулярник реуньйонський"
24249;24313;;"Mauritius Olive White-eye";"Zosterops chloronothos";"(Vieillot, 1817)";"IO : Mauritius";;"PHY, SEQ";"Mascarene olive white-eyes are members of the ancient Indian Ocean clade of white-eyes, sister to the Mascarene grey white-eyes (Warren et al. 2006).";"Окулярник маврикійський"
24249;24314;;"Reunion Grey White-eye";"Zosterops borbonicus";"(Forster, JR, 1781)";"IO : La Réunion";;"PS, SSP";"Includes geographically, morphologically and genetically distinct parapatric subspecies separated by extremely narrow hybrid zones (Gill 1973; Delahaie et al. 2017).";"Окулярник білогузий"
24249;24318;;"Mauritius Grey White-eye";"Zosterops mauritianus";"(Gmelin, JF, 1789)";"IO : Mauritius";;"PHY, SEQ";"Grey white-eyes of Mauritius and La Réunion are an ancient basal lineage not sister to radiation of African white-eyes (Cox et al. 2014). ";" "
24249;24319;;"Mount Cameroon Speirops";"Zosterops melanocephalus";"Gray, GR, 1862";"AF : Cameroon";;"TAX, PHY";"Move species of Speirops into Zosterops (Melo et al. 2011).";"Затоківка білолоба"
24249;24320;;"Forest White-eye";"Zosterops stenocricotus";"Reichenow, 1892";"AF : se Nigeria to sw Central African Republic and n Gabon, Bioko I.";;"AS, ENG";"Vocally distinct; not a member of the senegalensis cryptic species complex. Sister to Zosterops (Speirops) brunneus on Bioko I. (Fry et al. 2000; Cox 2013; Cox et al. 2014).";" "
24249;24321;;"Green White-eye";"Zosterops stuhlmanni";"Reichenow, 1892";"AF : central highlands";;"AS";"Green White-eye is split from Northern [African] Yellow White-eye (Cox 2013; Cox et al. 2014; Pearson & Turner 2017).";" "
24249;24326;;"Broad-ringed White-eye";"Zosterops eurycricotus";"Fischer, GA & Reichenow, 1884";"AF : ne Tanzania";;"AS";"Split from Montane White-eye Z. poliogastrus (Pearson & Turner 2017); monotypic.";" "
24249;24327;;"Fernando Po Speirops";"Zosterops brunneus";"(Salvadori, 1903)";"AF : Bioko I";;"TAX, PHY";"Move species of Speirops into Zosterops (Melo et al. 2011).";"Затоківка бура"
24249;24328;;"Heuglin's White-eye";"Zosterops poliogastrus";"Heuglin, 1861";"AF : ne, e";;"ENG";"Rename (9.1) Montane White-eye Z. poliogastrus Heuglin's White-eye following revision of this species complex.";"Окулярник мінливобарвний"
24249;24332;;"Kikuyu White-eye";"Zosterops kikuyuensis";"Sharpe, 1891";"AF : Kenya";;;"Possibly sister to Z. senegalensis jacksoni (Cox et al. 2014; Meimberg et al. 2016; Pearson & Turner 2017). Monotypic.";" "
24249;24333;;"Socotra White-eye";"Zosterops socotranus";"Neumann, 1908";"AF : Socotra I. and n Somalia";;"AS, PHY";"An old genetically distinct lineage endemic to Socotra I. and adjacent n Somalia; polyphyletic with respect to Z. abyssinicus (Cox et al. 2014).";" "
24249;24334;;"Principe White-eye";"Zosterops ficedulinus";"Hartlaub, 1866";"AF : Príncipe";;;;"Окулярник інжировий"
24249;24335;;"Annobon White-eye";"Zosterops griseovirescens";"Barboza du Bocage, 1893";"AF : Annobón I. (Gulf of Guinea)";;;;"Окулярник анобонський"
24249;24336;;"Sao Tome White-eye";"Zosterops feae";"Salvadori, 1901";"AF : São Tomé";;"AS, PHY";"Sao Tome White-eye Zosterops feae is split from Principe White-eye Z. ficedulinus based on parapatry and closer relationship to Black-capped Speirops Z. lugubris (Melo et al. 2011).";" "
24249;24337;;"Black-capped Speirops";"Zosterops lugubris";"(Hartlaub, 1848)";"AF : São Tomé";;"PHY, TAX";"Previously included in artificial genus Speirops.";"Затоківка чорноголова"
24249;24338;;"Principe Speirops";"Zosterops leucophaeus";"(Hartlaub, 1857)";"AF : Príncipe";;;;"Затоківка принсипійська"
24249;24339;;"Taita White-eye";"Zosterops silvanus";"Peters, JL & Loveridge, 1935";"AF : Kenya";;"AS, PHY";"Split from artificial Montane White-eye Z. poliogastrus complex; sister to pallidus group (Cox 2013; Cox et al. 2014; Pearson & Turner 2017). ";" "
24249;24340;;"Northern Yellow White-eye";"Zosterops senegalensis";"Bonaparte, 1850";"AF : widespread";;"TAX, ENG";"Includes jacksoni (Cox 2013; Cox et al. 2014; Pearson & Turner 2017). Change English name from African Yellow White-eye to Northern Yellow White-eye with revision of senegalensis complex (Pearson & Turner 2017).";"Окулярник сенегальський"
24249;24348;;"Orange River White-eye";"Zosterops pallidus";"Swainson, 1838";"AF : Namibia to w, c South Africa; local along Orange River";;"ENG";"Change English name of Zosterops pallidus to Orange River White-eye with split of Z. capensis (Hockey et al. 2005).";"Окулярник блідий"
24249;24349;;"South Pare White-eye";"Zosterops winifredae";"Moreau & Sclater, WL, 1934";"AF : s Pare Mts. (ne Tanzania)";;"AS, PHY";"Split from Heuglin's [Montane] White-eye. Sister to Z. pallidus? (Cox 2013; Cox et al. 2014; Pearson & Turner 2017).";" "
24249;24350;;"Cape White-eye";"Zosterops virens";"Sundevall, 1850";"AF : s";;"AS, ENG, TAX";"Split widespread Cape White-eye from restricted Z. pallidus (Oatley 2011). Retain English name Cape White-eye (Hockey et al. 2005). Use of Z. virens rather than Z. capensis for the species epithet follows Oatley (2011); Thompson & Taylor (2014).";" "
24249;24353;;"Southern Yellow White-eye";"Zosterops anderssoni";"Shelley, 1892";"AF : s";;"PS";"Split from Z. senegalensis (Cox 2013; Pearson & Turner 2017); includes stierlingi?";" "
24249;24357;;"Pemba White-eye";"Zosterops vaughani";"Bannerman, 1924";"IO : Pemba I.";;"AS, PHY";"Formerly treated by many authors as a subspecies of Z. senegalensis despite differing vocalizations, but is genetically distinct (Habel et al. 2013; Pearson & Turner 2017). Basal to the Indian Ocean group in Cai et al. (2019).";"Окулярник пембейський"
24249;24358;;"Seychelles White-eye";"Zosterops modestus";"Newton, E, 1867";"IO : Seychelles Is.";;;;"Окулярник магейський"
24249;24359;;"Malagasy White-eye";"Zosterops maderaspatanus";"(Linnaeus, 1766)";"AF : Madagascar, Comoros and sw Seychelles";;;;"Окулярник мадагаскарський"
24249;24365;;"Aldabra White-eye";"Zosterops aldabrensis";"Ridgway, 1894";"IO : Aldabra I. (sw Seychelles)";;"AS, PHY";"Aldabra White-eye is sister to Seychelles White-eye and, in turn, Kirk's White-eye and Malagasy White-eye (Cox et al. 2014).";" "
24249;24366;;"Kirk's White-eye";"Zosterops kirki";"Shelley, 1880";"AF : Comoros";;"PL";"Split ok? Melo et al. (2011) data support ssp.";" "
24249;24367;;"Mayotte White-eye";"Zosterops mayottensis";"Schlegel, 1867";"AF : Mayotte I. (Comoros)";;"PL";"Split ok? Melo et al. (2011) data support ssp.; rufous flanks?";"Окулярник майотійський"
